epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
42,8722.2,1.72345,1.81362,1.51271,0.60873,0.44771,0.4651,0.25549,1.67045,1.555,1.48834,0.00955072,0.00955072,0.00955072
43,8929.36,1.72031,1.80679,1.50719,0.61873,0.44349,0.46539,0.25619,1.66899,1.55238,1.4865,0.00952889,0.00952889,0.00952889
44,9136.24,1.70786,1.78437,1.50464,0.61471,0.45157,0.46578,0.25626,1.67008,1.54918,1.48727,0.00950658,0.00950658,0.00950658
45,9343.04,1.71098,1.7913,1.50366,0.61503,0.44865,0.46546,0.2569,1.67028,1.54567,1.48711,0.00948377,0.00948377,0.00948377
46,9550.09,1.71539,1.78559,1.50217,0.60505,0.45216,0.46506,0.2572,1.67079,1.54379,1.4873,0.00946048,0.00946048,0.00946048
47,9756.9,1.71256,1.78731,1.50355,0.6058,0.45499,0.46481,0.25744,1.67111,1.54193,1.48699,0.00943671,0.00943671,0.00943671
48,9963.88,1.7032,1.76648,1.49211,0.60449,0.45776,0.46501,0.25719,1.67084,1.54077,1.486,0.00941245,0.00941245,0.00941245
49,10170.8,1.70248,1.76763,1.48965,0.61472,0.45106,0.46567,0.25718,1.67051,1.53905,1.48485,0.00938772,0.00938772,0.00938772
50,10377.4,1.70264,1.75557,1.4899,0.62158,0.44574,0.46633,0.25737,1.67014,1.53781,1.48373,0.00936251,0.00936251,0.00936251
51,10584.4,1.6942,1.75051,1.485,0.6278,0.44611,0.46713,0.25736,1.66941,1.53566,1.48255,0.00933683,0.00933683,0.00933683
52,10791.3,1.70049,1.74982,1.48687,0.6283,0.44566,0.46773,0.25817,1.6695,1.53465,1.48255,0.00931067,0.00931067,0.00931067
53,10998.1,1.69831,1.75343,1.48624,0.6216,0.45006,0.46838,0.2583,1.66944,1.53341,1.48206,0.00928405,0.00928405,0.00928405
54,11204.8,1.69369,1.73942,1.4807,0.62251,0.45043,0.46885,0.25887,1.66984,1.53273,1.4818,0.00925697,0.00925697,0.00925697
55,11411.8,1.68825,1.73434,1.4789,0.6289,0.44884,0.4692,0.25906,1.6704,1.53158,1.48161,0.00922942,0.00922942,0.00922942
56,11618.6,1.69073,1.73375,1.47809,0.62681,0.45012,0.46873,0.25935,1.67039,1.52976,1.48146,0.00920142,0.00920142,0.00920142
57,11827.4,1.68984,1.72941,1.48245,0.62427,0.45126,0.46885,0.25978,1.67014,1.52964,1.48099,0.00917296,0.00917296,0.00917296
58,12034.2,1.68722,1.73032,1.48235,0.63076,0.44573,0.47044,0.26013,1.67011,1.52874,1.4807,0.00914405,0.00914405,0.00914405
59,12241.1,1.69269,1.72315,1.48039,0.6315,0.44564,0.47001,0.25993,1.66952,1.52817,1.48029,0.00911469,0.00911469,0.00911469
60,12448.5,1.68159,1.71377,1.46953,0.63175,0.44689,0.47006,0.26035,1.66922,1.52771,1.47973,0.00908488,0.00908488,0.00908488
61,12654,1.67274,1.70186,1.46996,0.63091,0.44468,0.47016,0.26028,1.66878,1.5265,1.47902,0.00905463,0.00905463,0.00905463
62,12860.4,1.67906,1.70256,1.46681,0.62926,0.44529,0.47041,0.26036,1.6689,1.52556,1.47881,0.00902395,0.00902395,0.00902395
63,13067.1,1.67448,1.69771,1.46478,0.62591,0.44731,0.47052,0.26056,1.66886,1.52521,1.47843,0.00899282,0.00899282,0.00899282
64,13273.9,1.67266,1.68375,1.46296,0.61838,0.45409,0.47048,0.26072,1.66913,1.52429,1.47799,0.00896127,0.00896127,0.00896127
65,13480.7,1.67518,1.68736,1.46406,0.61557,0.4535,0.47045,0.26103,1.66887,1.52367,1.47753,0.00892928,0.00892928,0.00892928
66,13688.2,1.67183,1.68686,1.4602,0.61845,0.45301,0.47037,0.26122,1.66911,1.52251,1.47737,0.00889687,0.00889687,0.00889687
67,13895,1.66438,1.66688,1.45636,0.61758,0.45495,0.47106,0.26179,1.66921,1.52181,1.4772,0.00886404,0.00886404,0.00886404
68,14101.5,1.66587,1.67072,1.46237,0.61791,0.45587,0.47135,0.26187,1.66938,1.52104,1.47698,0.00883079,0.00883079,0.00883079
69,14308.8,1.66269,1.67135,1.45468,0.61523,0.45844,0.47145,0.26189,1.66942,1.52003,1.47675,0.00879713,0.00879713,0.00879713
70,14515.2,1.66037,1.66101,1.45495,0.61626,0.4571,0.47162,0.2619,1.66976,1.5189,1.47683,0.00876305,0.00876305,0.00876305
71,14721.6,1.65939,1.65106,1.45526,0.62071,0.45555,0.47171,0.26222,1.66998,1.5183,1.47686,0.00872857,0.00872857,0.00872857
72,14927.6,1.65518,1.64805,1.4482,0.62152,0.45531,0.47196,0.26221,1.67009,1.51739,1.47667,0.00869368,0.00869368,0.00869368
73,15134.1,1.65902,1.65078,1.4481,0.62637,0.453,0.47196,0.26229,1.67037,1.51662,1.47646,0.00865839,0.00865839,0.00865839
74,15340.3,1.65645,1.64099,1.44855,0.62749,0.45297,0.47247,0.26238,1.67047,1.51585,1.47618,0.00862271,0.00862271,0.00862271
75,15546.6,1.6548,1.6404,1.44502,0.62839,0.45283,0.47244,0.2626,1.67105,1.51489,1.47628,0.00858664,0.00858664,0.00858664
76,15753.1,1.65015,1.64428,1.4453,0.63127,0.45083,0.47248,0.26213,1.67139,1.51421,1.47608,0.00855018,0.00855018,0.00855018
77,15960,1.64903,1.62529,1.44046,0.63195,0.45172,0.47254,0.26174,1.67193,1.51338,1.47617,0.00851333,0.00851333,0.00851333
78,16171.5,1.64736,1.62023,1.44081,0.63398,0.45193,0.47234,0.26171,1.67233,1.51297,1.47606,0.00847611,0.00847611,0.00847611
79,16378.4,1.64645,1.62902,1.44178,0.63608,0.44993,0.47251,0.26203,1.67268,1.51207,1.47629,0.00843851,0.00843851,0.00843851
80,16584.6,1.65141,1.62508,1.4403,0.63738,0.44812,0.47291,0.26198,1.67325,1.51124,1.47639,0.00840054,0.00840054,0.00840054
81,16790.9,1.64328,1.61348,1.43415,0.63865,0.44728,0.4731,0.26208,1.67332,1.51104,1.47627,0.0083622,0.0083622,0.0083622
82,16997.4,1.64112,1.602,1.43441,0.63948,0.44701,0.47343,0.2625,1.67339,1.51047,1.47589,0.00832349,0.00832349,0.00832349
83,17203.7,1.63815,1.60634,1.43186,0.63901,0.44762,0.47319,0.26252,1.6737,1.51006,1.47577,0.00828443,0.00828443,0.00828443
84,17410.2,1.63503,1.60183,1.42698,0.64117,0.44588,0.47296,0.26238,1.67394,1.5096,1.47554,0.00824502,0.00824502,0.00824502
85,17617.3,1.63901,1.5965,1.42697,0.64239,0.44576,0.47306,0.26259,1.67399,1.50921,1.47538,0.00820525,0.00820525,0.00820525
86,17823.7,1.63248,1.5915,1.4289,0.64252,0.44541,0.47313,0.26298,1.67453,1.50888,1.47549,0.00816514,0.00816514,0.00816514
